Reality	Premise-B
TV	Premise-I
is	Premise-I
Cheap	Premise-I
Cheap	Premise-I
,	Premise-I
etc	Premise-I
No	Premise-I
actors	Premise-I
with	Premise-I
any	Premise-I
talent	Premise-I
,	Premise-I
no	Premise-I
scripts	Premise-I
,	Premise-I
no	Premise-I
plots	Premise-I
,	Premise-I
no	Premise-I
meaning	Premise-I
just	Premise-I
an	Premise-I
appeal	Premise-I
to	Premise-I
the	Premise-I
lowest	Premise-I
common	Premise-I
denominator	Premise-I
of	Premise-I
our	Premise-I
society	Premise-I
.	Premise-I
I	O
used	O
to	O
enjoy	O
TV	O
shows	O
but	O
now	O
it	O
just	O
stinks	O
Cheap	O
--	O
I	O
watch	O
PBS	O
where	O
there	O
seems	O
to	O
still	O
be	O
high	O
quality	O
shows	O
with	O
real	O
actors	O
,	O
plots	O
and	O
scripts	O
.	O
