Based	Premise-B
on	Premise-I
the	Premise-I
NATO	Premise-I
charter	Premise-I
-	Premise-I
NO	Premise-I
-	Premise-I
but	Premise-I
morally	Premise-I
and	Premise-I
as	Premise-I
a	Premise-I
question	Premise-I
of	Premise-I
ethics	Premise-I
,	Premise-I
I	Premise-I
would	Premise-I
like	Premise-I
to	Premise-I
see	Premise-I
not	Premise-I
just	Premise-I
NATO	Premise-I
,	Premise-I
but	Premise-I
the	Premise-I
entire	Premise-I
world	Premise-I
jump	Premise-I
up	Premise-I
and	Premise-I
kick	Premise-I
sand	Premise-I
back	Premise-I
in	Premise-I
Putin's	Premise-I
face	Premise-I
.	Premise-I
Purely	O
from	O
the	O
perspective	O
of	O
US	O
politics	O
,	O
we	O
still	O
have	O
more	O
sanctions	O
to	O
play	O
out	O
,	O
the	O
requirement	O
of	O
a	O
more	O
serious	O
commitment	O
from	O
the	O
EU	O
,	O
and	O
we	O
can	O
start	O
to	O
send	O
arms	O
if	O
the	O
sanctions	O
fail	O
.	O
Speaking	O
of	O
US	O
politics	O
,	O
let's	O
not	O
forget	O
that	O
the	O
Immigration	O
crisis	O
,	O
the	O
Republican/Warhawk	O
over-hyped	O
faux	O
ISIS	O
crisis	O
,	O
and	O
the	O
mid-term	O
elections	O
,	O
are	O
all	O
stealing	O
the	O
thunder	O
from	O
this	O
serious	O
Russian	O
invasion	O
of	O
the	O
Ukraine	O
.	O
