leaving	Premise-B
the	Premise-I
Euro	Premise-I
will	Premise-I
hurt	Premise-I
the	Premise-I
hedge	Premise-I
funders	Premise-I
and	Premise-I
the	Premise-I
bankers	Premise-I
but	Premise-I
it	Premise-I
is	Premise-I
what	Premise-I
the	Premise-I
people	Premise-I
need	Premise-I
.	Premise-I
The	O
Greek	O
rank	O
and	O
file	O
(	O
not	O
the	O
oligarchs	O
that	O
we	O
hear	O
so	O
much	O
about	O
avoiding	O
their	O
taxes	O
)	O
need	O
to	O
get	O
out	O
from	O
under	O
German-imposed	O
austerity	O
,	O
which	O
is	O
hurtful	O
,	O
counter-productive	O
and	O
verging	O
on	O
sadistic	O
.	O
The	O
change	O
will	O
be	O
bumpy	O
but	O
after	O
a	O
few	O
months	O
,	O
the	O
Euro	O
will	O
be	O
but	O
an	O
unpleasant	O
memory	O
to	O
the	O
Greeks	O
.	O
The	O
Spaniards	O
are	O
next	O
.	O
