Foreign	Premise-B
languages	Premise-I
have	Premise-I
been	Premise-I
one	Premise-I
of	Premise-I
the	Premise-I
greatest	Premise-I
gifts	Premise-I
that	Premise-I
a	Premise-I
person	Premise-I
can	Premise-I
receive	Premise-I
;	Premise-I
for	O
me	O
French	O
in	O
middle	O
and	O
high	O
school	O
(	O
still	O
not	O
fluent	O
)	O
,	O
and	O
German	O
beginning	O
when	O
I	O
was	O
about	O
27	O
,	O
(	O
fluent/bilingual	O
)	O
.	O
I	O
thought	O
it	O
was	O
crazy	O
when	O
universities	O
dropped	O
the	O
language	O
requirements	O
.	O
