High	Premise-B
speed	Premise-I
rail	Premise-I
(	Premise-I
or	Premise-I
airplanes	Premise-I
,	Premise-I
for	Premise-I
500	Premise-I
mile	Premise-I
hops	Premise-I
)	Premise-I
don't	Premise-I
save	Premise-I
much	Premise-I
time	Premise-I
vs	Premise-I
.	Premise-I
driving	Premise-I
when	Premise-I
considering	Premise-I
the	Premise-I
need	Premise-I
to	Premise-I
arrive	Premise-I
at	Premise-I
the	Premise-I
station/airport	Premise-I
early	Premise-I
,	Premise-I
and	Premise-I
the	Premise-I
issue	Premise-I
of	Premise-I
getting	Premise-I
to	Premise-I
where	Premise-I
you	Premise-I
are	Premise-I
going	Premise-I
once	Premise-I
you	Premise-I
get	Premise-I
off	Premise-I
the	Premise-I
train	Premise-I
.	Premise-I
I	O
think	O
a	O
far	O
more	O
useful	O
service	O
would	O
be	O
more	O
AutoTrain	O
routes	O
,	O
to	O
accommodate	O
those	O
not	O
starting	O
or	O
ending	O
their	O
actual	O
trips	O
in	O
a	O
central	O
city	O
..	O
Something	O
like	O
Chicago	O
-Cincinnati-Charlotte-Atlanta-Orlando	O
would	O
be	O
a	O
good	O
start	O
.	O
