As	Premise-B
soon	Premise-I
as	Premise-I
there	Premise-I
is	Premise-I
a	Premise-I
critical	Premise-I
level	Premise-I
of	Premise-I
EV	Premise-I
adoption	Premise-I
third	Premise-I
parties	Premise-I
will	Premise-I
spring	Premise-I
up	Premise-I
to	Premise-I
supply	Premise-I
a	Premise-I
(	Premise-I
new	Premise-I
!	Premise-I
)	Premise-I
market	Premise-I
for	Premise-I
portable	Premise-I
EV	Premise-I
chargers	Premise-I
.	Premise-I
I	O
am	O
surprised	O
that	O
Nissan	O
doesn't	O
offer	O
this	O
as	O
an	O
option	O
--	O
but	O
what	O
the	O
heck	O
,	O
the	O
market	O
will	O
provide	O
.	O
Look	O
at	O
what	O
happened	O
with	O
iPod/iPhone	O
accessories	O
.	O
