" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A104V8NZIQFN2F	0.283		308Q0PEVB9PN4LNAGETC5FMXPGM9IQ	3I7KR83SNAPBOWG5QF9MUB5Q2J89K9	125	122	344	907	85	182
A1I4CYG5YDFTYM	0.155		3TDXMTX3CC60M2LCI7Q0L5VVZCAI6E	3XEIP58NL0Z1ETG0FDFMMZKY6M2LZ4	63	28	154	346	74	46
A1OYYWJ2B7OQTD	0.001		317HQ483I848TNR4HOCHNGHHVBHNIU	3A9LA2FRWSQAN2XVNAC3XMBGH5VXHC	6	0	298	370	253	48
A2YWFGJOOHKH0Q	0.002		3WMINLGALCFAW1BFGABQQ7ZMJ2UACX	3OREP8RUT2NPA3ZJY823NP8NJ2VGBO	1	0	875	875	875	0
A2ZPH76PDI9XIQ	0.002	This is my first, hope I did it right.	3EF8EXOTT271AR4LUJZJ2AJE5SQ1J7	3PMR2DOWOOD797PQ2X9PBEBSJ1045O	1	0	207	207	207	0
A34QZDSTKZ3JO9	0.002		35GCEFQ6I60NK9N4Z9GOEXM1LYDZ3P	3T8DUCXY0NIARF6SKONEV2SMLWZT9Z	83	72	156	474	85	59
A37CE37LHUN8M6	0.000		3PJUZCGDJ7SUFFBX7SHLSQSJNSN894	3FHTJGYT8NCREX0THDK4I9DC069GP8	7	3	607	1022	312	251
A3TKD7EJ6BM0M5	0.406		3URFVVM166U7J30NETCP16C1YB8ZU8	3T2EL38U0MWN0VWY60ZX603H8SRQX1	107	133	162	762	67	99
AB98SGS280TY5	0.445		3E1QT0TDFQLNQG40BMNY5JRM6JC8IR	3EQVJH0T40X36LOBI0B68JQA497THP	24	42	401	1014	132	273
ACSYZN2MGIZUD	0.001		3XIQGXAUMDKGGXOC03VTUTI6I61X77	308KJXFUJRIOWYGXCU1ERX36REHTAE	5	1	309	458	229	94
AD8UJKT5HYGNJ	0.234	The last two were very hard, especially the last one.  I sat here trying hard to figure something out but it just doesn't explain any reason really.  Being naive doesn't really make a reason why Colorado went to far with pot.  I did try!;#3 & #5 were hard, I truely did my best and am almost out of time, lol.  They didn't seem to have a clear reason though similar topic and wasn't sure what would be right to do there...;The last one just doesn't jive with why librarians are expendable.  Also, thanks for the reply to my comments :)  I had already left a good review but updated the communication rating to a 5 and left more feedback :) Thanks again!	3S4AW7T80CUOXGP4KMUYGN39LXD4LP	374UMBUHN51CPDDVW8X5XSTURH2TCG	4	3	732	1041	258	364
AE861G0AY5RGT	0.000		3F1567XTNXH0LJBTTMYLEHDJGO19QN	39WSF6KUV2XB9JS1WIH1T6NADLYOEI	71	17	611	1128	159	257
AMGQ3YEAMC3Z2	0.099		3JWH6J9I9TPY6FDYBEK01TD40OXBNF	3X2YVV51PUGKUR7RBGDW3GH2RETW1J	19	6	238	539	77	129
APW9F8OTJ4KXO	0.115		3EJJQNKU9SHTCQ8C4DBDWOLCVSFRHA	3IKDQS3DQECMGZXK2WY1JLRLG0MCII	113	60	349	1183	83	266
ASG735O932DPU	0.469	The last 2 reasons were missing segments	3GFK2QRXXATM4T5325KAUQQ3J5RW54	360ZO6N6J1V6EKG8BRM29OXURO3M9R	12	21	195	368	62	91
